deal,First,MI,Last,Law_Firm,Type
026 - Community Bank System Inc and Northeast Retirement Services Inc merger.docx,Andrew,P.,Alin,"Cadwalader, Wickersham & Taft LLP",Buyer
026 - Community Bank System Inc and Northeast Retirement Services Inc merger.docx,Michael,K.,Krebs,Nutter McClennen & Fish LLP,Target/Seller
026 - Corporate Resource Services Inc acquisition of stock of TS Staffing Servic.docx,William,E.,Swart,Polsinelli Shughart PC,Buyer
026 - Corporate Resource Services Inc acquisition of stock of TS Staffing Servic.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
026 - Entercom Communications Corp acquisition of stock of Lincoln Financial Med.docx,Zachary,A.,Judd,Latham & Watkins LLP,Buyer
026 - Entercom Communications Corp acquisition of stock of Lincoln Financial Med.docx,Nicholas,G.,Demmo,"Wachtell, Lipton, Rosen & Katz",Target/Seller
026 - Entercom Communications Corp acquisition of stock of Lincoln Financial Med.docx,NA,NA,NA,Lerman Senter PLLC,Target/Seller
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,Stephen,G.,Rooney,Mayer Brown LLP,Buyer
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,David,W.,Alberts,Mayer Brown LLP,Buyer
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,Michael,NA,Groll,Willkie Farr & Gallagher LLP,Target/Seller
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,Rajab,S.,Abbassi,Willkie Farr & Gallagher LLP,Target/Seller
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,David,NA,Sands,"Sheppard, Mullin, Richter & Hampton LLP",Buyer
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,Zachary,M.,Turke,"Sheppard, Mullin, Richter & Hampton LLP",Buyer
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,Ben,NA,Straughan,Perkins Coie LLP,Target/Seller
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,Nick,NA,Ferrer,Perkins Coie LLP,Target/Seller
026 - Littlejohn And Co LLC acquisition of stock of Kaman Industrial Technologie.docx,Sean,P.,Griffiths,"Gibson, Dunn & Crutcher LLP",Buyer
026 - Littlejohn And Co LLC acquisition of stock of Kaman Industrial Technologie.docx,James,S.,Bruce,K&L Gates LLP,Target/Seller
026 - LiveDeal Inc acquisition of stock of Marquis Industries Inc.docx,Randolf,W.,Katz,Baker & Hostetler LLP,Buyer
026 - LiveDeal Inc acquisition of stock of Marquis Industries Inc.docx,Edward,Hine,Jr.,"Edward Hine, Jr., P.C.",Target/Seller
026 - MedQuist Holdings Inc and Multimodal Technologies Inc merger.docx,Steven,J.,Abrams,Pepper Hamilton LLP,Buyer
026 - MedQuist Holdings Inc and Multimodal Technologies Inc merger.docx,Dana,NA,Blakslee,Duane Morris LLP,Target/Seller
026 - MetLife Inc acquisition of equity interests of Logan Circle Partners LP an.docx,Floyd,I.,Wittlin,"Morgan, Lewis & Bockius LLP",Buyer
026 - MetLife Inc acquisition of equity interests of Logan Circle Partners LP an.docx,Joseph,A.,Coco,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
026 - MetLife Inc acquisition of equity interests of Logan Circle Partners LP an.docx,Peter,D.,Serating,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
026 - News plus  Media Capital Group LLC acquisition of stock of Las Vegas Revie.docx,NA,NA,NA,Not disclosed at signing.,Buyer
026 - News plus  Media Capital Group LLC acquisition of stock of Las Vegas Revie.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
026 - PRA Health Sciences Inc and Symphony Health Solutions Corporation merger.docx,Marni,NA,Lerner,Simpson Thacher & Bartlett LLP,Buyer
026 - PRA Health Sciences Inc and Symphony Health Solutions Corporation merger.docx,Gary,R.,Goldenberg,Blank Rome LLP,Target/Seller
026 - PRA Health Sciences Inc and Symphony Health Solutions Corporation merger.docx,Linsey,NA,Bozzelli,Blank Rome LLP,Target/Seller
026 - Proofpoint Inc and Wombat Security Technologies Inc merger.docx,Kris,S.,Withrow,Fenwick & West LLP,Buyer
026 - Proofpoint Inc and Wombat Security Technologies Inc merger.docx,Thomas,G.,Buchanan,Buchanan Ingersoll & Rooney PC,Target/Seller
026 - Sanchez Production Partners LP acquisition of equity interests of Catarina.docx,C.,Timothy,Fenn,Latham & Watkins LLP,Buyer
026 - Sanchez Production Partners LP acquisition of equity interests of Catarina.docx,David,NA,Elder,Akin Gump Strauss Hauer & Feld LLP,Target/Seller
026 - Tana Exploration Company LLC acquisition of certain assets of Midstates Pe.docx,Andrew,M.,Adams,"Gieger, Laborde & Laperouse, LLC",Buyer
026 - Tana Exploration Company LLC acquisition of certain assets of Midstates Pe.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
026 - US Concrete Inc acquisition of stock of Ferrara Bros Building Materials Co.docx,Kerry,NA,Berchem,Akin Gump Strauss Hauer & Feld LLP,Buyer
026 - US Concrete Inc acquisition of stock of Ferrara Bros Building Materials Co.docx,Alan,S.,Jacobs,Withers Bergman LLP,Target/Seller
026 - US Concrete Inc acquisition of stock of Ferrara Bros Building Materials Co.docx,Gregory,R.,Beekman,Lewis Rice,Target/Seller
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,Howard,L.,Ellin,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,C.,Michael,Chitwood,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,NA,Kirkland & Ellis LLP,Buyer
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,Karessa,L.,Cain,"Wachtell, Lipton, Rosen & Katz",Target/Seller
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,Raaj,S.,Narayan,"Wachtell, Lipton, Rosen & Katz",Target/Seller
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,NA,"Quinn Emanuel Urquhart & Sullivan, LLP",Target/Seller
026 - Walgreen Co acquisition of certain assets of Fred's Stores of Tennessee In.docx,Chris,NA,Abbinante,Sidley Austin LLP,Buyer
026 - Walgreen Co acquisition of certain assets of Fred's Stores of Tennessee In.docx,NA,NA,NA,Weil Gotshal & Manges LLP,Buyer
026 - Walgreen Co acquisition of certain assets of Fred's Stores of Tennessee In.docx,David,NA,D’Urso,Akin Gump Strauss Hauer & Feld LLP,Target/Seller
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,Ryan,J.,Maierson,Latham & Watkins LLP,Buyer
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,Nick,S.,Dhesi,Latham & Watkins LLP,Buyer
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,William,W.,Bos,Kirkland & Ellis LLP,Target/Seller
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,Jhett,R.,Nelson,Kirkland & Ellis LLP,Target/Seller
027 - Bank First National Corporation and Partnership Community Bancshares Inc m.docx,Mark,NA,Kanaly,Alston & Bird LLP,Buyer
027 - Bank First National Corporation and Partnership Community Bancshares Inc m.docx,Patrick,S.,Murphy,Godfrey & Kahn S.C.,Target/Seller
027 - Barracuda Networks Inc and Intronis Inc merger.docx,Ed,NA,Batts,DLA Piper LLP (US),Buyer
027 - Barracuda Networks Inc and Intronis Inc merger.docx,David,NA,Powers,Goodwin Procter LLP,Target/Seller
027 - Basic Energy Services Inc acquisition of equity interests of Maverick comp.docx,James,M.,Alsup,"Lynch, Chappell & Alsup, P.C.",Buyer
027 - Basic Energy Services Inc acquisition of equity interests of Maverick comp.docx,NA,NA,NA,Perkins Coie LLP,Target/Seller
027 - Campbell Soup Company acquisition of stock of Pacific Foods of Oregon Inc.docx,Solomon,Hunter,Jr.,Pepper Hamilton LLP,Buyer
027 - Campbell Soup Company acquisition of stock of Pacific Foods of Oregon Inc.docx,NA,NA,NA,Jones Day,Buyer
027 - Campbell Soup Company acquisition of stock of Pacific Foods of Oregon Inc.docx,Bruce,NA,Berning,Tonkon Torp LLP,Target/Seller
027 - Carriage Services Inc acquisition of assets of SCI Louisiana Funeral Servi.docx,Kevin,P.,Lewis,"Vinson & Elkins, L.L.P.",Buyer
027 - Carriage Services Inc acquisition of assets of SCI Louisiana Funeral Servi.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
027 - Delek Logistics Partners LP acquisition of certain assets of Alon USA Part.docx,NA,NA,NA,Not disclosed at signing.,Buyer
027 - Delek Logistics Partners LP acquisition of certain assets of Alon USA Part.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
027 - Depomed Inc acquisition of certain assets of Nautilus Neurosciences Inc.docx,Brian,D.,Lee,Baker Botts L.L.P.,Buyer
027 - Depomed Inc acquisition of certain assets of Nautilus Neurosciences Inc.docx,John,T.,Capetta,Kelley Drye & Warren LLP,Target/Seller
027 - Depomed Inc acquisition of certain assets of Nautilus Neurosciences Inc.docx,Jay,R.,Schifferli,Kelley Drye & Warren LLP,Target/Seller
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,Gerald,T.,Nowak,Kirkland & Ellis LLP,Buyer
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,Corey,D.,Fox,Kirkland & Ellis LLP,Buyer
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,Douglas,N.,Cogen,Fenwick & West LLP,Target/Seller
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,David,NA,Michaels,Fenwick & West LLP,Target/Seller
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,Bomi,NA,Lee,Fenwick & West LLP,Target/Seller
027 - Energy Resources 12 Operating Company LLC acquisition of certain assets of.docx,Todd,W.,Spake,Kelly Hart & Hallman LLP,Buyer
027 - Energy Resources 12 Operating Company LLC acquisition of certain assets of.docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,Christian,NA,Nugent,Goodwin Procter LLP,Buyer
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,Jared,NA,Spitalnick,Goodwin Procter LLP,Buyer
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,Roy,NA,Larson,McDermott Will & Emery LLP,Target/Seller
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,NA,NA,NA,Cleary Gottlieb Steen & Hamilton LLP,Target/Seller
027 - Generex Biotechnology Corporation acquisition of certain assets of Veneto .docx,NA,NA,NA,"Eckert Semans Cherin & Mellott, LLC",Buyer
027 - Generex Biotechnology Corporation acquisition of certain assets of Veneto .docx,NA,NA,NA,Not disclosed at signing.,Target/Seller
027 - Gray Television Inc and Raycom Media Inc merger.docx,Kevin,NA,Mills,Cooley LLP,Buyer
027 - Gray Television Inc and Raycom Media Inc merger.docx,Maureen,NA,Nagle,Cooley LLP,Buyer
027 - Gray Television Inc and Raycom Media Inc merger.docx,Mark,L.,Hanson,Jones Day,Buyer
027 - Gray Television Inc and Raycom Media Inc merger.docx,Scott,NA,Dove,"Robinson, Bradshaw & Hinson, P.A.",Target/Seller
027 - Gray Television Inc and Raycom Media Inc merger.docx,Jon,NA,Jordan,"Robinson, Bradshaw & Hinson, P.A.",Target/Seller
027 - Gray Television Inc and Raycom Media Inc merger.docx,NA,NA,NA,Covington & Burling,Target/Seller
027 - IBERIABANK Corporation and Georgia Commerce Bancshares Inc merger.docx,NA,NA,NA,Jones Walker LLP,Buyer
027 - IBERIABANK Corporation and Georgia Commerce Bancshares Inc merger.docx,Steven,S.,Dunlevie,"Womble Carlyle Sandridge & Rice, LLP",Target/Seller
027 - Information Services Group Inc and Alsbridge Holdings Inc merger.docx,Thomas,F.,Lamprecht,Katten Muchin Rosenman LLP,Buyer
027 - Information Services Group Inc and Alsbridge Holdings Inc merger.docx,P.,Thao,Le,Pepper Hamilton LLP,Target/Seller
027 - KAR Auction Services Inc dba KAR Global and BacklotCars Inc merger.docx,Brian,M.,Schafer,Winston & Strawn LLP,Buyer
027 - KAR Auction Services Inc dba KAR Global and BacklotCars Inc merger.docx,Jack,NA,Bowling,Stinson LLP,Target/Seller
027 - KAR Auction Services Inc dba KAR Global and BacklotCars Inc merger.docx,Scott,NA,Gootee,Stinson LLP,Target/Seller
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,Trevor,NA,Belden,Faegre Baker Daniels LLP,Buyer
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,Robert,A.,Wilson,Kirkland & Ellis LLP,Target/Seller
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,NA,NA,NA,Kirkland & Ellis LLP,Target/Seller
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,Byron,NA,NA,Kirkland & Ellis LLP,Target/Seller
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,P.A.,NA,NA,Kirkland & Ellis LLP,Target/Seller
027 - Matson Logistics Inc acquisition of equity interests of Span Intermediate .docx,Douglas,D.,Smith,"Gibson, Dunn & Crutcher LLP",Buyer
027 - Matson Logistics Inc acquisition of equity interests of Span Intermediate .docx,NA,NA,NA,Kirkland & Ellis LLP,Target/Seller
027 - Matson Logistics Inc acquisition of equity interests of Span Intermediate .docx,Paul,W.,Anderson,Kirkland & Ellis LLP,Target/Seller
027 - Premier Financial Bancorp Inc and First National Bankshares Corporation me.docx,Thomas,J.,Murray,Dinsmore & Shohl LLP,Buyer
027 - Premier Financial Bancorp Inc and First National Bankshares Corporation me.docx,Daniel,J.,Konrad,Dinsmore & Shohl LLP,Buyer
027 - Premier Financial Bancorp Inc and First National Bankshares Corporation me.docx,Charles,D.,Dunbar,Jackson Kelly PLLC,Target/Seller
027 - Select Medical Holdings Corporation acquisition of stock of US HealthWorks.docx,Stephen,M.,Leitzell,Dechert LLP,Buyer
027 - Select Medical Holdings Corporation acquisition of stock of US HealthWorks.docx,Timothy,G.,Hoxie,Jones Day,Target/Seller
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,Leonard,NA,Kreynin,Davis Polk & Wardwell LLP,Buyer
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,Andrew,J.,Nussbaum,"Wachtell, Lipton, Rosen & Katz",Target/Seller
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,Igor,NA,Kirman,"Wachtell, Lipton, Rosen & Katz",Target/Seller
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,Nancy,B.,Greenbaum,"Wachtell, Lipton, Rosen & Katz",Target/Seller
027 - SXC Health Solutions Corp acquisition of equity interests of HealthTran LL.docx,Gary,D.,Gerstman,Sidley Austin LLP,Buyer
027 - SXC Health Solutions Corp acquisition of equity interests of HealthTran LL.docx,NA,NA,NA,Grimshaw & Harring PC,Target/Seller
027 - SXC Health Solutions Corp acquisition of equity interests of HealthTran LL.docx,NA,NA,NA,Kirkland & Ellis LLP,Target/Seller
027 - TETRA Technologies Inc acquisition of stock of Compressor Systems Inc.docx,David,C.,Buck,"Andrews Kurth, LLP",Buyer
027 - TETRA Technologies Inc acquisition of stock of Compressor Systems Inc.docx,W.,Garney,Griggs,"Strasburger & Price, LLP",Target/Seller
027 - Trimble Inc acquisition of stock of e-Builder Inc.docx,Jeff,NA,Beuche,Perkins Coie LLP,Buyer
027 - Trimble Inc acquisition of stock of e-Builder Inc.docx,Scott,B.,Joachim,Fenwick & West LLP,Target/Seller
027 - Virtusa Corporation acquisition of stock of Apparatus Inc.docx,John,J.,Egan,Goodwin Procter LLP,Buyer
027 - Virtusa Corporation acquisition of stock of Apparatus Inc.docx,Edward,NA,King,Goodwin Procter LLP,Buyer
027 - Virtusa Corporation acquisition of stock of Apparatus Inc.docx,Scott,NA,Snively,Ice Miller LLP,Target/Seller
027 - WestRock Company acquisition of equity interests of Cenveo Commercial Ohio.docx,NA,NA,NA,Not disclosed at signing.,Buyer
027 - WestRock Company acquisition of equity interests of Cenveo Commercial Ohio.docx,Kenneth,A.,Lefkowitz,Hughes Hubbard & Reed LLP,Target/Seller
028 - Acrotech Biopharma LLC acquisition of certain assets of Spectrum Pharmaceu.docx,Betty,NA,Yan,Reed Smith LLP,Buyer
028 - Acrotech Biopharma LLC acquisition of certain assets of Spectrum Pharmaceu.docx,Carl,R.,Sanchez,Paul Hastings LLP,Target/Seller
028 - AK Steel Corporation acquisition of equity interests of Severstal Dearborn.docx,Raymond,O.,Gietz,"Weil, Gotshal & Manges LLP",Buyer
028 - AK Steel Corporation acquisition of equity interests of Severstal Dearborn.docx,Gary,P.,Cullen,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
028 - AK Steel Corporation acquisition of equity interests of Severstal Dearborn.docx,Shilpi,NA,Gupta,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
028 - CenterState Banks Inc and Gateway Financial Holdings of Florida Inc merger.docx,John,P.,Greeley,"Smith Mackinnon, PA",Buyer
028 - CenterState Banks Inc and Gateway Financial Holdings of Florida Inc merger.docx,NA,NA,NA,"Gunster, Yoakley & Stewart, P.A.- Gregory K. Bader",Target/Seller
028 - Clayton Dubilier And Rice LLC acquisition of subsidiary equity interests a.docx,Kevin,A.,Rinker,Debevoise & Plimpton LLP,Buyer
028 - Clayton Dubilier And Rice LLC acquisition of subsidiary equity interests a.docx,Christopher,NA,Anthony,Debevoise & Plimpton LLP,Buyer
028 - Clayton Dubilier And Rice LLC acquisition of subsidiary equity interests a.docx,Adam,O.,Emmerich,"Wachtell, Lipton, Rosen & Katz",Target/Seller
028 - Clayton Dubilier And Rice LLC acquisition of subsidiary equity interests a.docx,Benjamin,M.,Roth,"Wachtell, Lipton, Rosen & Katz",Target/Seller
028 - Coca-Cola Bottling Co Consolidated acquisition of certain distribution-rel.docx,John,V.,McIntosh,Moore & Van Allen PLLC,Buyer
028 - Coca-Cola Bottling Co Consolidated acquisition of certain distribution-rel.docx,NA,NA,NA,Moore & Van Allen PLLC,Buyer
028 - Coca-Cola Bottling Co Consolidated acquisition of certain distribution-rel.docx,William,G.,Roche,King & Spalding LLP,Target/Seller
028 - Coca-Cola Bottling Co Consolidated acquisition of certain distribution-rel.docx,Anne,M.,Cox,King & Spalding LLP,Target/Seller
028 - Compuware Corporation and dynaTrace software Inc merger.docx,Jin-Kyu,NA,Koh,Dykema Gossett PLLC,Buyer
028 - Compuware Corporation and dynaTrace software Inc merger.docx,NA,NA,NA,DLA Piper LLP (US),Target/Seller
028 - Compuware Corporation and dynaTrace software Inc merger.docx,NA,NA,NA,Ropes & Gray LLP,Target/Seller
